,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned,Screen-Full_HD,Screen-IPS_panel
0,0,Acer,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,978,Low,0,1
1,1,Dell,3,1,1,3,15.600000000000001,0.6896551724137931,4,256,4.851000000000001,634,Low,1,0
2,2,Dell,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,4.851000000000001,946,Low,1,0
3,3,Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,128,2.6901,1244,Low,0,1
4,4,HP,4,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.21155,837,Low,1,0
5,5,Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.851000000000001,1016,Low,1,0
6,6,HP,3,3,1,5,15.600000000000001,0.5517241379310345,8,256,4.6305000000000005,1117,Low,1,0
7,7,Acer,3,2,1,5,15.0,0.5517241379310345,4,256,4.851000000000001,866,Low,0,1
8,8,Dell,3,1,1,5,15.600000000000001,0.8620689655172414,4,256,5.0714999999999995,812,Low,1,0
9,9,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,4.851000000000001,1068,Low,0,1
10,10,Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.69665,975,Low,1,0
11,11,HP,3,2,1,3,15.600000000000001,0.6896551724137931,4,128,4.21155,558,Low,1,0
12,12,Asus,3,2,2,3,15.600000000000001,0.6896551724137931,4,256,4.41,527,Low,1,0
13,13,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.7485,1117,Low,1,0
14,14,Asus,3,2,1,5,14.0,0.5517241379310345,8,256,3.0869999999999997,1195,Low,1,0
15,15,HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.1013,876,Low,1,0
16,16,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1213,Low,0,1
17,17,Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.851000000000001,1105,Low,1,0
18,18,Dell,4,2,1,5,15.0,0.5517241379310345,8,256,4.1453999999999995,1392,Low,0,1
19,19,HP,3,2,1,5,14.0,0.5517241379310345,8,256,3.59415,1092,Low,1,0
20,20,HP,4,3,1,7,15.0,0.6206896551724138,8,256,4.035150000000001,888,Low,0,1
21,21,HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.3218,761,Low,1,0
22,22,Dell,4,2,1,7,13.000000000000002,0.6206896551724138,8,256,2.66805,2095,Medium,0,1
23,23,Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.84325,1518,Low,1,0
24,24,Asus,4,2,1,7,14.0,0.9310344827586208,8,256,2.75625,1333,Low,1,0
25,25,Dell,3,1,2,3,15.600000000000001,0.6896551724137931,4,256,4.851000000000001,616,Low,1,0
26,26,Asus,3,3,1,3,15.600000000000001,0.8275862068965517,6,256,4.41,733,Low,1,0
27,27,HP,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,4.21155,913,Low,1,0
28,28,HP,4,3,1,7,13.000000000000002,0.9310344827586208,8,256,3.0429,1421,Low,0,1
29,29,HP,3,3,1,5,14.0,0.8620689655172414,6,256,4.106221030042918,837,Low,0,1
30,30,Asus,4,3,1,7,14.0,0.9310344827586208,8,256,2.8665000000000003,1515,Low,0,1
31,31,Lenovo,3,2,1,7,14.0,0.9310344827586208,8,256,3.4839,1880,Medium,0,1
32,32,Dell,4,2,1,5,13.000000000000002,0.5517241379310345,8,256,2.66805,2069,Medium,0,1
33,33,Asus,3,3,1,7,15.600000000000001,0.6206896551724138,8,256,3.7485,1420,Low,1,0
34,34,HP,3,2,1,5,17.3,0.5517241379310345,8,256,5.5125,1179,Low,1,0
35,35,Acer,4,2,1,7,14.0,0.6206896551724138,8,256,3.5280000000000005,1123,Low,0,1
36,36,Acer,3,3,1,3,15.600000000000001,0.9310344827586208,4,256,4.851000000000001,727,Low,1,0
37,37,HP,3,2,1,7,14.0,0.6206896551724138,8,256,3.59415,1255,Low,1,0
38,38,HP,3,2,1,5,13.000000000000002,0.8620689655172414,4,256,4.106221030042918,888,Low,0,1
39,39,Lenovo,3,1,1,5,14.0,0.5517241379310345,8,256,3.85875,1418,Low,0,1
40,40,Asus,4,2,1,7,14.0,0.6206896551724138,8,256,2.75625,1396,Low,1,0
41,41,HP,4,2,1,5,14.0,0.9310344827586208,4,256,3.2634,1374,Low,1,0
42,42,HP,3,1,1,5,15.600000000000001,0.5517241379310345,6,256,4.21155,786,Low,1,0
43,43,Acer,3,3,1,5,17.0,0.5517241379310345,4,256,6.615,1023,Low,0,1
44,44,Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.69665,925,Low,1,0
45,45,Lenovo,1,3,1,7,15.0,0.9655172413793103,16,256,5.5125,1371,Low,0,1
46,46,Acer,3,3,1,5,17.0,0.5517241379310345,8,256,6.615,1085,Low,0,1
47,47,Huawei,4,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,1714,Medium,0,1
48,48,HP,3,3,1,5,17.3,0.5517241379310345,8,256,5.5125,1172,Low,1,0
49,49,Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,4.106221030042918,1777,Medium,1,0
50,50,Acer,4,2,1,5,13.000000000000002,0.41379310344827586,8,256,2.4696000000000002,1256,Low,0,1
51,51,HP,3,3,1,7,17.3,0.6206896551724138,8,256,5.5125,1327,Low,1,0
52,52,Dell,4,2,1,7,13.299999999999999,0.6206896551724138,8,256,2.646,1841,Medium,1,0
53,53,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1184,Low,0,1
54,54,HP,3,3,1,7,14.0,0.6206896551724138,8,256,3.59415,1310,Low,1,0
55,55,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,1460,Low,1,0
56,56,Dell,3,1,2,5,15.600000000000001,0.5517241379310345,8,256,4.851000000000001,860,Low,1,0
57,57,Toshiba,4,2,1,7,13.299999999999999,0.8620689655172414,8,256,2.646,1731,Medium,1,0
58,58,Acer,3,3,1,7,15.600000000000001,0.9310344827586208,8,256,4.851000000000001,1057,Low,1,0
59,59,Asus,3,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.41,977,Low,1,0
60,60,Dell,3,2,1,5,14.0,0.8620689655172414,8,256,3.5280000000000005,1091,Low,1,0
61,61,Dell,3,1,2,7,15.600000000000001,0.9310344827586208,16,256,4.106221030042918,1142,Low,1,0
62,62,Acer,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1075,Low,0,1
63,63,Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.6448,1117,Low,1,0
64,64,Asus,1,3,1,7,17.3,1.0,16,256,7.938000000000001,3810,High,1,0
65,65,Acer,3,3,1,3,17.0,0.9310344827586208,4,256,6.615,892,Low,0,1
66,66,Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,3.10905,1206,Low,1,0
67,67,Lenovo,3,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.52025,1118,Low,1,0
68,68,Dell,3,1,2,7,15.600000000000001,0.6206896551724138,8,256,4.106221030042918,934,Low,1,0
69,69,Lenovo,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1053,Low,0,1
70,70,Lenovo,3,2,1,5,15.600000000000001,0.8620689655172414,6,256,4.851000000000001,735,Low,1,0
71,71,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,6.615,1208,Low,0,1
72,72,Lenovo,3,2,1,7,15.0,0.9310344827586208,8,256,4.29975,1394,Low,0,1
73,73,Asus,4,3,1,5,15.600000000000001,0.8620689655172414,8,256,3.7485,1241,Low,1,0
74,74,Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.41,2323,Medium,1,0
75,75,Lenovo,3,2,1,5,15.600000000000001,0.5517241379310345,8,256,4.52025,939,Low,1,0
76,76,Acer,3,3,2,7,15.600000000000001,0.9655172413793103,8,256,5.5125,1244,Low,1,0
77,77,Dell,5,3,1,7,17.3,1.0,16,256,7.5411,3665,High,1,0
78,78,Toshiba,3,3,1,7,15.0,0.8620689655172414,8,256,4.851000000000001,1325,Low,0,1
79,79,Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.4255000000000004,1269,Low,0,1
80,80,HP,3,2,1,5,14.0,0.8620689655172414,8,256,4.29975,1245,Low,1,0
81,81,HP,3,2,1,7,14.0,0.9310344827586208,8,256,3.2634,1641,Medium,1,0
82,82,Asus,3,2,1,7,14.0,0.9310344827586208,8,256,4.41,1390,Low,1,0
83,83,Asus,4,3,1,7,15.600000000000001,0.9310344827586208,8,256,3.7485,1334,Low,1,0
84,84,HP,4,2,1,7,12.5,0.9310344827586208,8,256,2.7783,1696,Medium,1,0
85,85,Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.41,1198,Low,0,1
86,86,Asus,1,3,1,7,15.600000000000001,0.9655172413793103,8,256,5.5125,1269,Low,1,0
87,87,HP,3,2,1,5,14.0,0.896551724137931,8,256,3.2634,1611,Low,1,0
88,88,HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.0572,1453,Low,1,0
89,89,Dell,3,3,1,5,15.600000000000001,0.5517241379310345,8,256,4.41,1452,Low,1,0
90,90,Dell,4,2,1,7,13.299999999999999,0.6206896551724138,8,256,2.646,2006,Medium,1,0
91,91,HP,3,2,1,7,15.600000000000001,0.9310344827586208,8,256,4.0572,1656,Medium,1,0
92,92,HP,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,5.7330000000000005,2208,Medium,1,0
93,93,Dell,3,2,1,5,14.0,0.896551724137931,8,256,2.9988,1813,Medium,1,0
94,94,Asus,3,2,1,5,14.0,0.8620689655172414,8,256,4.41,1200,Low,1,0
95,95,Dell,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,5.137650000000001,1142,Low,1,0
96,96,HP,4,2,1,7,14.0,0.9310344827586208,8,256,2.9988,2223,Medium,0,1
97,97,Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,3.3075,1396,Low,0,1
98,98,Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,4,128,3.3075,697,Low,0,1
